City,Country
vila do maio,CV
brae,GB
russkiy aktash,RU
kokstad,ZA
lucapa,AO
birjand,IR
ingham,AU
henties bay,NA
tilichiki,RU
doha,QA
makakilo city,US
lorengau,PG
anan,JP
synya,RU
thanatpin,MM
altagracia de orituco,VE
anqing,CN
nome,US
lahaina,US
hereford,GB
san ramon de la nueva oran,AR
manuk mangkaw,PH
prainha,BR
pacific grove,US
tam ky,VN
atasu,KZ
seshcha,RU
norilsk,RU
los teques,VE
san cristobal,EC
san ramon,NI
horta,ES
poum,MK
sawtell,AU
seoul,KR
plettenberg bay,ZA
oranjestad,AW
belmonte,PT
bundaberg,AU
samarinda,ID
zhezkazgan,KZ
abonnema,NG
narok,KE
muravlenko,RU
necochea,AR
talcahuano,CL
san-pedro,CI
bismarck,US
pinotepa de don luis,MX
mizan teferi,ET
bonfim,BR
oga,NG
bouca,CF
bolobo,CD
nuuk,GL
baylo,PH
fuxin,CN
chernaya kholunitsa,RU
havelock,US
traverse city,US
champoton,MX
mandalgovi,MN
delemont,CH
chauk,MM
kambove,CD
tutoia,BR
touros,BR
babati,TZ
graaff-reinet,ZA
noumea,NC
pilot butte,CA
atar,MR
valenca do piaui,BR
natchez,US
denpasar,ID
loikaw,MM
madaoua,NE
malindi,KE
along,IN
bonito,BR
saint anthony,US
high prairie,CA
high rock,BS
raudeberg,NO
kununurra,AU
mogadishu,SO
mecca,SA
viedma,AR
tomatlan,MX
lyuban,BY
bonavista,CA
hirara,JP
russell,AR
burns lake,CA
hakkari,FI
marzuq,YE
villaviciosa,ES
padang,ID
matam,SN
la seyne-sur-mer,FR
palu,ID
talmenka,RU
tamworth,AU
perth,GB
yabrud,SY
paraiso,MX
veraval,FR
novyy urgal,RU
tongren,CN
